Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics-009.jpg;20124;784
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0056.jpg;5329;785
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0057.jpg;4703;785
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0058.jpg;6072;785
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0059.jpg;5713;785
"2013-07-05 13:37:45";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0060.jpg;4123;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0061.jpg;4334;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0062.jpg;8043;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0063.jpg;4946;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0064.jpg;5720;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0066.jpg;5016;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0065.jpg;10510;785
"2013-07-05 13:37:46";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0067.jpg;4830;785
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0068.jpg;11789;785
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/pics_0069.jpg;5104;785
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/pics/tn/tn.jpg;11358;778
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/girls/ero.jpg;23717;777
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/04/girls/fi.jpg;25434;776
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/mazhor/tn.jpg;43577;782
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/042013/01/sel/pricel.jpg;40097;778
"2013-07-05 13:37:47";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/barbie/tn.jpg;53715;782
"2013-07-05 13:37:48";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/zvezda/tn.jpg;97720;782
